,Questions,Category0,Category1,Category2
4334,What are the names of all the seas in the world and what ocean do they drain into ?,LOCATION,LOC,other
4335,What does BMW stand for ?,ABBREVIATION,ABBR,exp
4336,Name the highest mountain .,LOCATION,LOC,mount
4337,What is a biologist ?,DESCRIPTION,DESC,def
4338,What revelation did Alexander Butterfield make to the Senate Watergate committee ?,DESCRIPTION,DESC,desc
4339,What island is home to statues called Mauis ?,LOCATION,LOC,other
4340,What is a fear of black people ?,ENTITY,ENTY,dismed
4341,What 's the most extensively grown and eaten food ?,ENTITY,ENTY,food
4342,What was the worst hurricane ?,ENTITY,ENTY,event
4343,How can I get started in writing for television ?,DESCRIPTION,DESC,manner
4344,Where was Pythagoras born ?,LOCATION,LOC,other
4345,What 1927 silent film received an international revival in 1981 ?,ENTITY,ENTY,cremat
4346,What is the price for AAA 's liability auto insurance ?,NUMERIC,NUM,money
4347,What is LMDS ?,ABBREVIATION,ABBR,exp
4348,Who are the top ten richest people in the world ?,HUMAN,HUM,ind
4349,Who is the leader of Brunei ?,HUMAN,HUM,ind
4350,What is the capital of Italy ?,LOCATION,LOC,city
4351,What game does Garry Kasparov play ?,ENTITY,ENTY,sport
4352,How do you get a pointsettia to turn red ?,DESCRIPTION,DESC,manner
4353,What is kept in Fort Knox that is so valuable ?,ENTITY,ENTY,other
4354,What is the greatest hiking Web site ?,LOCATION,LOC,other
4355,"What is the population of Arcadia , Florida ?",NUMERIC,NUM,count
4356,What Stephen King novel is set in a graveyard for pets ?,ENTITY,ENTY,cremat
4357,Who were the head writers for the Smothers Brothers Comedy Hour ?,HUMAN,HUM,ind
4358,Who portrayed Prewett in From Here to Eternity ?,HUMAN,HUM,ind
4359,What was the sequel to The Pink Panther ?,ENTITY,ENTY,cremat
4360,How many people live in cities ?,NUMERIC,NUM,count
4361,How high must a mountain be to be called a mountain ?,NUMERIC,NUM,dist
4362,What Scottish poet penned To a Mouse and To a Louse ?,HUMAN,HUM,ind
4363,What is the name of the inventor of silly putty ?,HUMAN,HUM,ind
4364,What ocean surrounds the Madeira Islands ?,LOCATION,LOC,other
4365,What famous communist leader died in Mexico City ?,HUMAN,HUM,ind
4366,What was John Steinbeck 's travelling companion Charley ?,ENTITY,ENTY,other
4367,What are the capital cities of the two large countries that occupy the Iberian peninsula in Europe ?,LOCATION,LOC,city
4368,How many mines can still be found in the Falklands after the war ended ?,NUMERIC,NUM,count
4369,How can I get in touch with Michael Moore of `` Roger &amp; Me '' ?,DESCRIPTION,DESC,manner
4370,How is ` qigong ' properly pronounced ?,DESCRIPTION,DESC,manner
4371,How many gallons of water go over Niagra Falls every second ?,NUMERIC,NUM,count
4372,What turns blue litmus paper red ?,ENTITY,ENTY,other
4373,Who was the first woman to run the mile in less than 4 36893 minutes ?,HUMAN,HUM,ind
4374,How many copies of an album must be sold for it to be a gold album ?,NUMERIC,NUM,count
4375,What is `` the soft drink for adults '' ?,ENTITY,ENTY,food
4376,What is the only vegetable that starts with `` z '' ?,ENTITY,ENTY,food
4377,What is a fear of machinery ?,ENTITY,ENTY,dismed
4378,Who awarded The Flying Fickle Finger of Fate ?,HUMAN,HUM,ind
4379,"In Sinclair Lewis ' `` Main Street , '' what was the name of the typical American town ?",LOCATION,LOC,city
4380,What hide-and-seek game is played around a tin can ?,ENTITY,ENTY,sport
4381,What is the largest city in Texas ?,LOCATION,LOC,city
4382,"What future deer hunter portrayed Annie Hall 's neurotic brother , Duane ?",HUMAN,HUM,ind
4383,What drink is the best thirst-quencher ?,ENTITY,ENTY,food
4384,Where can I get a map of Prussia on the Internet ?,LOCATION,LOC,other
4385,What was the longest war in U.S. history ?,ENTITY,ENTY,event
4386,What is a `` node '' in computer terms ?,DESCRIPTION,DESC,def
4387,What are the five richest countries in the world ?,LOCATION,LOC,country
4388,Where is McCarren Airport ?,LOCATION,LOC,other
4389,What are the top boy names in the U.S. ?,HUMAN,HUM,ind
4390,How many tiles did the Space Shuttle Columbia lose on its second flight ?,NUMERIC,NUM,count
4391,How many teaspoons make up a tablespoon ?,NUMERIC,NUM,count
4392,Who was the lyricist and who was the composer between Gilbert and Sullivan ?,HUMAN,HUM,ind
4393,Who was the lawyer for Randy Craft ?,HUMAN,HUM,ind
4394,What is the origin of the word Marijuana ?,DESCRIPTION,DESC,desc
4395,Who was the 3rd president of the United States ?,HUMAN,HUM,ind
4396,What organ contains the islands of Langerhans ?,ENTITY,ENTY,body
4397,Name Dick Tracy 's two children .,HUMAN,HUM,ind
4398,What is a fear of points ?,ENTITY,ENTY,dismed
4399,What fraction of a beaver 's life is spent swimming ?,NUMERIC,NUM,perc
4400,How can SQL queries be improved ?,DESCRIPTION,DESC,manner
4401,What is the most radioactive food ?,ENTITY,ENTY,food
4402,What was the previous name for the Commonwealth ?,HUMAN,HUM,gr
4403,How much will gas be taxed in California by the year 2000 ?,NUMERIC,NUM,money
4404,Who gave King Arthur the round table ?,HUMAN,HUM,ind
4405,What state in the United States covers the largest area ?,LOCATION,LOC,state
4406,How do you make a computer chip ?,DESCRIPTION,DESC,manner
4407,Who became president of the U.S. in 1789 ?,HUMAN,HUM,ind
4408,Who wrote `` The Scarlet Letter '' ?,HUMAN,HUM,ind
4409,Who did Sara Jane Moore try to assassinate ?,HUMAN,HUM,ind
4410,What is Linux ?,DESCRIPTION,DESC,def
4411,How many dots make up the symbol for `` because '' ?,NUMERIC,NUM,count
4412,What title did Shevardnadze have during the Soviet era ?,HUMAN,HUM,title
4413,What did the pyramid-builders of Egypt mainly eat ?,ENTITY,ENTY,food
4414,What 's the international radio code word for the letter F ?,ENTITY,ENTY,word
4415,What are the 28 tenses in the English language ?,ENTITY,ENTY,other
4416,Which king signed the Magna Carta ?,HUMAN,HUM,ind
4417,What software offers inventors use of CAD-like design ?,ENTITY,ENTY,cremat
4418,What is agent orange ?,DESCRIPTION,DESC,def
4419,Name the child left on a doorstep at the beginning of Gasoline Alley .,HUMAN,HUM,ind
4420,How many zip codes are there in the U.S. ?,NUMERIC,NUM,count
4421,"In Beetle Bailey , can you name Sarge 's dog ?",ENTITY,ENTY,animal
4422,Why shouldn 't you remove a bee stinger with tweezers ?,DESCRIPTION,DESC,reason
4423,Which college did Dikembe Mutombo play basketball for ?,HUMAN,HUM,gr
4424,Why did Europeans first come to Australia and Oceania ?,DESCRIPTION,DESC,reason
4425,What did the Confederate Constitution say about slavery ?,DESCRIPTION,DESC,desc
4426,How long does it take the Milky Way Galaxy to make one revolution ?,NUMERIC,NUM,period
4427,How many people own pets ?,NUMERIC,NUM,count
4428,What web sites are linked to the Report on Genesis Eldercare ?,LOCATION,LOC,other
4429,What is a fear of lice ?,ENTITY,ENTY,dismed
4430,How long does it take different materials to decompose ?,NUMERIC,NUM,period
4431,How many colors are there in a rainbow ?,NUMERIC,NUM,count
4432,What was Darth Vader 's son named ?,HUMAN,HUM,ind
4433,What problems contributed to the high failure rate of Plains farmers in the 1800s ?,DESCRIPTION,DESC,reason
4434,What British female pop singing star of the 1960s and early 1970s was a child actress in the 1940s and '50s ?,HUMAN,HUM,ind
4435,Where is McCarren Airport located ?,LOCATION,LOC,other
4436,How effective are condoms in protecting against AIDS ?,DESCRIPTION,DESC,manner
4437,"What part of Britain comprises the Highlands , Central Lowlands , and Southern Uplands ?",LOCATION,LOC,other
4438,How many Marx Brothers were there ?,NUMERIC,NUM,count
4439,How tall is the Matterhorn ?,NUMERIC,NUM,dist
4440,What country is proud to claim Volcano National Park ?,LOCATION,LOC,country
4441,When was Babe Ruth born ?,NUMERIC,NUM,date
4442,Who portrayed Field Marshal Erwin Rommel in The Desert Fox ?,HUMAN,HUM,ind
4443,What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?,ENTITY,ENTY,cremat
4444,What direction do most baseball pitchers pitch toward ?,LOCATION,LOC,other
4445,How many Beanie Baby sites are there ?,NUMERIC,NUM,count
4446,How can I call a friend in another country when I do not know the telephone number ?,DESCRIPTION,DESC,manner
4447,What is 55 times sweeter than cane sugar ?,ENTITY,ENTY,food
4448,Where are diamonds mined ?,LOCATION,LOC,other
4449,How do they get Teflon to stick to the pan ?,DESCRIPTION,DESC,manner
4450,How much money did the Marcos steal from their country ?,NUMERIC,NUM,money
4451,Who makes the `` cross-your-heart bra '' ?,HUMAN,HUM,ind
4452,Who is Archie Bunker 's son-in-law ?,HUMAN,HUM,ind
4453,What company produces Spumante ?,HUMAN,HUM,gr
4454,What is the origin of music ?,DESCRIPTION,DESC,desc
4455,What does `` B.Y.O.B. '' mean ?,ABBREVIATION,ABBR,exp
4456,What major airline has the best safety record in the world ?,HUMAN,HUM,gr
4457,What President became Chief Justice after his presidency ?,HUMAN,HUM,ind
4458,How many innings constitute an official baseball game ?,NUMERIC,NUM,count
4459,What city has a newspaper called The Plain Dealer ?,LOCATION,LOC,city
4460,What U.S. state boasts Leif Ericson Park ?,LOCATION,LOC,state
4461,How many flavors does Baskin &amp; Robbins offer ?,NUMERIC,NUM,count
4462,Who was chief engineer of the Starship Enterprise ?,HUMAN,HUM,ind
4463,How does crosstalk relate to InSb thickness in infrared detectors ?,DESCRIPTION,DESC,manner
4464,What mayor made so many TV appearances he was asked to join AFTRA in 1984 ?,HUMAN,HUM,ind
4465,Which type of submarine was bought recently by South Korea ?,ENTITY,ENTY,veh
4466,How much in miles is a ten K run ?,NUMERIC,NUM,count
4467,When was Beethoven born ?,NUMERIC,NUM,date
4468,Who is the most sexy celebrity ?,HUMAN,HUM,ind
4469,What detective lives on Punchbowl Hill and has 11 children ?,HUMAN,HUM,ind
4470,Where did the ukulele originate ?,LOCATION,LOC,other
4471,Rotary engines used to be made by whom ?,HUMAN,HUM,ind
4472,What does seccession mean ?,DESCRIPTION,DESC,def
4473,Who portrayed the title character in the film The Day of the Jackal ?,HUMAN,HUM,ind
4474,What is the name of the gulf between Sweden and Finland ?,LOCATION,LOC,other
4475,Who was the first X-Man to die in battle ?,HUMAN,HUM,ind
4476,What will the weather be today ?,DESCRIPTION,DESC,desc
4477,Who is the President of Ghana ?,HUMAN,HUM,ind
4478,Which sex is denied voting rights in Kuwait ?,ENTITY,ENTY,other
4479,What two countries is Andorra nestled between ?,LOCATION,LOC,country
4480,How long ago was the Roe vs. Wade decision by the Supreme Court ?,NUMERIC,NUM,period
4481,What terrorist group was headed by Donald DeFreeze ?,HUMAN,HUM,gr
4482,What are the four largest mountain ranges in the continental United States ?,LOCATION,LOC,mount
4483,What is the size of the student body at the University of Massachusetts in Amherst ?,NUMERIC,NUM,other
4484,How can I determine the radius of an ellipse ?,DESCRIPTION,DESC,manner
4485,Who starred in the movie The War of the Worlds ?,HUMAN,HUM,ind
4486,How many different kinds of ice cream are there ?,NUMERIC,NUM,count
4487,"What actor , who had greatest fame on TV , became the father of triplets ?",HUMAN,HUM,ind
4488,What is the Homelite Inc. home page ?,LOCATION,LOC,other
4489,What is the Golden Rule ?,DESCRIPTION,DESC,def
4490,What is a movie that Kevin Costner made about Sioux Indians ?,ENTITY,ENTY,cremat
4491,What were millions of kids wearing on their heads in 1955 ?,ENTITY,ENTY,other
4492,How does color affect a person psychologically ?,DESCRIPTION,DESC,manner
4493,What is Columbia Tristar 's phone number ?,NUMERIC,NUM,code
4494,What type of animal is the easiest kept pet there is ?,ENTITY,ENTY,animal
4495,What is sound ?,DESCRIPTION,DESC,def
4496,"What was the name of the horse that fell on Queen Elizabeth , Prince Albert 's wife ?",ENTITY,ENTY,animal
4497,What are the current immigration laws in US ?,DESCRIPTION,DESC,desc
4498,What were the five opening words on Ben Casey ?,ENTITY,ENTY,word
4499,Why does it say on children 's cough syrup not to drive while using this medication ?,DESCRIPTION,DESC,reason
4500,What hair color can I use to just cover a little gray ?,ENTITY,ENTY,color
4501,Where was Tesla born ?,LOCATION,LOC,other
4502,What does Larry King do for a living ?,HUMAN,HUM,title
4503,Who shot Lee Harvey Oswald ?,HUMAN,HUM,ind
4504,When did Jaco Pastorius die ?,NUMERIC,NUM,date
4505,What blood sport features a movement called a veronica ?,ENTITY,ENTY,sport
4506,What was spawned the term `` MiG Alley '' ?,ENTITY,ENTY,termeq
4507,What 's the most common street name in America ?,LOCATION,LOC,other
4508,What is the difference between khaki and chino ?,DESCRIPTION,DESC,desc
4509,What is the origin of infinity ?,DESCRIPTION,DESC,desc
4510,What alloy do copper and tin form ?,ENTITY,ENTY,substance
4511,What plants are found in an estuary ?,ENTITY,ENTY,plant
4512,What are the side effects of mevacor ?,DESCRIPTION,DESC,desc
4513,What are the top 5 tallest buildings in the world ?,LOCATION,LOC,other
4514,Colin Powell is best known for what achievement ?,DESCRIPTION,DESC,reason
4515,What was the name of the computer in ` 2001 : A Space Odyssey ' ?,ENTITY,ENTY,product
4516,Who portrayed Renaud in Casablanca ?,HUMAN,HUM,ind
4517,What country has problems with hooligans ?,LOCATION,LOC,country
4518,What planet did Percival Lovell discover ?,LOCATION,LOC,other
4519,How often are brain cells replaced ?,NUMERIC,NUM,count
4520,How much did Mercury spend on advertising in 1993 ?,NUMERIC,NUM,money
4521,What kind of rocket launched the Surveyor spacecraft ?,ENTITY,ENTY,veh
4522,What country contains the westernmost point in South America ?,LOCATION,LOC,country
4523,What did Abolitionists try to end ?,ENTITY,ENTY,other
4524,What 's the American dollar equivalent for 8 pounds in the U.K. ?,NUMERIC,NUM,count
4525,Why should cigarette smoking be banned ?,DESCRIPTION,DESC,reason
4526,What year did Charles Dicken die ?,NUMERIC,NUM,date
4527,What D.H. Lawrence novel was originally titled Tenderness ?,ENTITY,ENTY,cremat
4528,What rock group raised a ruckus at the White House by singing American Woman ?,HUMAN,HUM,gr
4529,What is a fear of night or darkness ?,ENTITY,ENTY,dismed
4530,What is the origin of the rock band Led Zeppelin 's name ?,DESCRIPTION,DESC,desc
4531,How was Lawrence,DESCRIPTION,DESC,manner
4532,How do I know if I am pregnant ?,DESCRIPTION,DESC,manner
4533,When did the last Americans leave Vietnam ?,NUMERIC,NUM,date
4534,What famed clown appeared on an early Howdy Doody Show and insisted that Clarabell be made up as a real clown ?,HUMAN,HUM,ind
4535,"What group was formed in 1969 after police met resistance from patrons at the Stonewall , a Greenwich Village gay bar ?",HUMAN,HUM,gr
4536,Who was Confucius ?,HUMAN,HUM,desc
4537,What snack food has ridges ?,ENTITY,ENTY,food
4538,What 's the most popular four-player game of all time ?,ENTITY,ENTY,sport
4539,What 's the meaning of the name Tatiana ?,DESCRIPTION,DESC,def
4540,How many people died when the Estonia sank in 1994 ?,NUMERIC,NUM,count
4541,What Southern California town is named after a character made famous by Edgar Rice Burroughs ?,LOCATION,LOC,city
4542,How many colors are there in a rainbow ?,NUMERIC,NUM,count
4543,What is the habitat of the chickadee ?,LOCATION,LOC,other
4544,What drug is often used to treat AIDS patients ?,ENTITY,ENTY,dismed
4545,Which of the five senses develops first ?,ENTITY,ENTY,other
4546,Where did the name root beer come from ?,DESCRIPTION,DESC,desc
4547,What city 's the kickoff point for climbs of Mount Everest ?,LOCATION,LOC,city
4548,What is the average salary of a paleontologist ?,NUMERIC,NUM,money
4549,Where is the largest post office building in the world ?,LOCATION,LOC,other
4550,Who is currently the most popular singer in the world ?,HUMAN,HUM,ind
4551,Who was the first animal into space ?,ENTITY,ENTY,animal
4552,What is the correct way to mount a roll of toilet paper ?,ENTITY,ENTY,techmeth
4553,What Jules Verne novel features scientists held captive in the submarine Nautilus ?,ENTITY,ENTY,cremat
4554,Why is Rush 's 2112 called 2112 ?,DESCRIPTION,DESC,reason
4555,What 's the state motto of California ?,DESCRIPTION,DESC,desc
4556,What function does homeostasis have on the existence of an organism ?,DESCRIPTION,DESC,reason
4557,"What company started out making pies , and wound up manufacturing plastic throwing toys ?",HUMAN,HUM,gr
4558,What does the acronym CPR mean ?,ABBREVIATION,ABBR,exp
4559,The Jewish alphabet is called what ?,ENTITY,ENTY,termeq
4560,What are the Baltic States ?,DESCRIPTION,DESC,def
4561,How many endangered species are there in the world ?,NUMERIC,NUM,count
4562,Which large U.S. city had the highest murder rate for 1988 ?,LOCATION,LOC,city
4563,"Who was the bandleader mentor of Ella Fitzgerald with whom she cowrote `` A_Tisket , A-Tasket '' ?",HUMAN,HUM,ind
4564,Who invented basketball ?,HUMAN,HUM,ind
4565,How has TV affected our society ?,DESCRIPTION,DESC,manner
4566,When was the last major eruption of Mount St. Helens ?,NUMERIC,NUM,date
4567,What was the name of Humphrey Bogart 's club in Casablanca ?,HUMAN,HUM,gr
4568,What U.S. Government agency registers trademarks ?,HUMAN,HUM,gr
4569,What is osmosis ?,DESCRIPTION,DESC,def
4570,What format was the major competition of VHS ?,ENTITY,ENTY,other
4571,What hockey player did Ronald Reagan joke he would swap Texas for ?,HUMAN,HUM,ind
4572,What is the world 's deadliest infectious disease ?,ENTITY,ENTY,dismed
4573,Which infectious disease is the world 's deadliest ?,ENTITY,ENTY,dismed
4574,"What President was buried at his ancestral home overlooking the Hudson River at Hyde Park , New York ?",HUMAN,HUM,ind
4575,How much did the first Barbie doll sell for in 1959 ?,NUMERIC,NUM,money
4576,What country was General Douglas McArthur in when he was recalled by President Truman ?,LOCATION,LOC,country
4577,What are the five most popular Usenet groups ?,HUMAN,HUM,gr
4578,What are the seven deadly sins ?,DESCRIPTION,DESC,desc
4579,"What is the latitude and longitude of El Paso , Texas ?",NUMERIC,NUM,other
4580,What does the name Melissa mean ?,DESCRIPTION,DESC,def
4581,What is the nature of snow and how is the formation of snow different from that of ice ?,DESCRIPTION,DESC,desc
4582,How many head injuries are there in recreational ice skating each year ?,NUMERIC,NUM,count
4583,A normal human pregnancy lasts how many months ?,NUMERIC,NUM,count
4584,What kind of sports team is the Buffalo Sabres ?,ENTITY,ENTY,sport
4585,What impenetrable system of French fortifications was built along the German frontier before World War II ?,ENTITY,ENTY,other
4586,What are new computer games for Windows 95 or 98 ?,ENTITY,ENTY,sport
4587,Who domesticated the wild turkey ?,HUMAN,HUM,ind
4588,How can I get someone 's phone number if I only have their screen name ?,DESCRIPTION,DESC,manner
4589,What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?,ENTITY,ENTY,sport
4590,What country does Ileana Cotrubas come from ?,LOCATION,LOC,country
4591,What 's the motto of the Boy Scouts ?,DESCRIPTION,DESC,desc
4592,What two European countries are joined by the Gran San Bernardo Pass ?,LOCATION,LOC,country
4593,What movie did Steven Spielberg direct in 1975 ?,ENTITY,ENTY,cremat
4594,What kind of creatures are the Canary Islands named for ?,ENTITY,ENTY,animal
4595,What was the name of the US helicopter pilot shot down over North Korea ?,HUMAN,HUM,ind
4596,What 's a male `` cuckquean '' ?,DESCRIPTION,DESC,def
4597,"What are the factors leading to the high teen pregnancy rate in Spartanburg , South Carolina ?",DESCRIPTION,DESC,reason
4598,"Name the designer of the shoe that spawned millions of plastic imitations , known as ` jellies ' .",HUMAN,HUM,ind
4599,What does RCA stand for ?,ABBREVIATION,ABBR,exp
4600,Why are ice cream sundaes called sundaes ?,DESCRIPTION,DESC,reason
4601,What 's the singular of dice ?,ENTITY,ENTY,word
4602,Who is Olive Oyl 's brother ?,HUMAN,HUM,ind
4603,"What 12-hour cold medicine uses the formula `` 6 , 6 , 12 '' in its ads ?",ENTITY,ENTY,dismed
4604,What was the first video ever made ?,ENTITY,ENTY,cremat
4605,What 's the favorite food of dragonflies ?,ENTITY,ENTY,food
4606,What king boycotted Prince Charles 's wedding ?,HUMAN,HUM,ind
4607,What does Nicholas Cage do for a living ?,HUMAN,HUM,title
4608,What was the nickname of model Leslie Hornby ?,HUMAN,HUM,ind
4609,Where is the Taj Mahal ?,LOCATION,LOC,other
4610,What 's distinctive about a palmiped 's feet ?,DESCRIPTION,DESC,desc
4611,In 139 the papal court was forced to move from Rome to where ?,LOCATION,LOC,other
4612,What is the first day of the week ?,NUMERIC,NUM,date
4613,What is goulash ?,DESCRIPTION,DESC,def
4614,What capital is built around Monument Circle which contains soldiers and sailors monument ?,LOCATION,LOC,city
4615,Name the men 's cologne that is associated with the sea .,ENTITY,ENTY,other
4616,How does a parachute work ?,DESCRIPTION,DESC,manner
4617,What is the first book of the Old Testament ?,ENTITY,ENTY,cremat
4618,How many of them are in sub-Saharan Africa ?,NUMERIC,NUM,count
4619,"What is the history of Spartacus , the Roman slave and gladiator ?",DESCRIPTION,DESC,desc
4620,What famed wall supports the Badaling turret ?,LOCATION,LOC,other
4621,"Who portrayed Fatman in the television show , `` Jake and the Fatman '' ?",HUMAN,HUM,ind
4622,What is object-oriented design ?,DESCRIPTION,DESC,def
4623,What does Melissa mean ?,DESCRIPTION,DESC,def
4624,What is form drag ?,DESCRIPTION,DESC,def
4625,Who were John F. Kennedy 's dogs ?,ENTITY,ENTY,animal
4626,Where are good science sites on the Internet ?,LOCATION,LOC,other
4627,What woman was Time 's Man of the Year for 1952 ?,HUMAN,HUM,ind
4628,What currents affect the area of the Shetland Islands and Orkney Islands in the North Sea ?,DESCRIPTION,DESC,reason
4629,Who wrote The Ugly Duckling ?,HUMAN,HUM,ind
4630,Who designed London Bridge ?,HUMAN,HUM,ind
4631,"How many miles are there between Tel Aviv , Israel and Memphis , Tennessee ?",NUMERIC,NUM,count
4632,How many flavors of ice cream does Howard Johnson 's have ?,NUMERIC,NUM,count
4633,What weapon did the crossed slits in English castles accommodate ?,ENTITY,ENTY,other
4634,How can I stop or slow down aging ?,DESCRIPTION,DESC,manner
4635,Where are the busiest Amtrak rail stations in the U.S. ?,LOCATION,LOC,other
4636,How many freckles does Howdy Doody have on his face ?,NUMERIC,NUM,count
4637,"How does Cos Cob , CT get its name ?",DESCRIPTION,DESC,manner
4638,Who was considered to be the father of psychology ?,HUMAN,HUM,ind
4639,How did Super President gain his powers on the animated series ?,DESCRIPTION,DESC,manner
4640,How tall was the animated King Kong ?,NUMERIC,NUM,dist
4641,What are values ?,DESCRIPTION,DESC,def
4642,What is the population of Japan ?,NUMERIC,NUM,other
4643,Name an American made motorcycle .,ENTITY,ENTY,veh
4644,Where was the largest concentration camp in World War II ?,LOCATION,LOC,other
4645,How much did Alaska cost when bought from Russia ?,NUMERIC,NUM,money
4646,How many events make up the decathlon ?,NUMERIC,NUM,count
4647,What causes blue balls ?,DESCRIPTION,DESC,reason
4648,What were the first bodies visited by spacecraft ?,LOCATION,LOC,other
4649,Who succeeded Nikita Khrushchev as first secretary of the Communist Party ?,HUMAN,HUM,ind
4650,Who was chosen to be the first black chairman of the military Joint Chiefs of Staff ?,HUMAN,HUM,ind
4651,Name of the lady the Great Gatsby pines for ?,HUMAN,HUM,ind
4652,What does a chef coddle eggs in ?,ENTITY,ENTY,other
4653,How many bails are there in a cricket wicket ?,NUMERIC,NUM,count
4654,What city was Martin Luther King Jr. assassinated in ?,LOCATION,LOC,city
4655,"What celebrity couple , when going through a divorce , divided their toilet paper into two equal piles ?",HUMAN,HUM,ind
4656,Where 's the Bernini-Bristol Hotel ?,LOCATION,LOC,other
4657,Who said `` What contemptible scoundrel stole the cork from my lunch ? '',HUMAN,HUM,ind
4658,What is the capital of Kosovo ?,LOCATION,LOC,city
4659,What kind of company is 7-Eleven ?,HUMAN,HUM,gr
4660,How many letters appear with the numbers 2 to 9 on a telephone dial ?,NUMERIC,NUM,count
4661,What were the first three cities to have a population of more than a million ?,LOCATION,LOC,city
4662,How did the months of the year get there name ?,DESCRIPTION,DESC,manner
4663,What scale measures earthquakes ?,ENTITY,ENTY,other
4664,What is a glory hole ?,DESCRIPTION,DESC,def
4665,What kind of education would you need to become an athletic trainer for the NFL ?,ENTITY,ENTY,other
4666,What are the major companies that are part of Dow Jones ?,HUMAN,HUM,gr
4667,What college did Joe Namath play football for ?,HUMAN,HUM,gr
4668,What was the minimum wage in 1991 ?,NUMERIC,NUM,money
4669,What country is the biggest producer of tungsten ?,LOCATION,LOC,country
4670,How does it make its colors ?,DESCRIPTION,DESC,manner
4671,What would happen to Canada if Quebec separated ?,DESCRIPTION,DESC,desc
4672,When is the Jimmy Buffett concert coming to the E center in Camden NJ ?,NUMERIC,NUM,date
4673,What is ` Last Chance for Animals ' ?,DESCRIPTION,DESC,desc
4674,What European country abandoned postage stamps in 1923 because printing them cost more than their face value ?,LOCATION,LOC,country
4675,What is the weather like on the moon ?,DESCRIPTION,DESC,desc
4676,Who was the 1st U.S. President ?,HUMAN,HUM,ind
4677,"What is the main language of Sao Paulo , Brazil ?",ENTITY,ENTY,lang
4678,How much did Varian Associates try to sell its vacuum products division to the BOC group for ?,NUMERIC,NUM,money
4679,What is the abbreviation of the International Olympic Committee ?,ABBREVIATION,ABBR,abb
4680,How many people hike ?,NUMERIC,NUM,count
4681,What are boxcars ?,DESCRIPTION,DESC,def
4682,How do I keep cats out of my flower garden for good ?,DESCRIPTION,DESC,manner
4683,Who played Maria in the film West Side Story ?,HUMAN,HUM,ind
4684,What is a common anti-AIDS drug ?,ENTITY,ENTY,dismed
4685,Who bestowed great power upon Captain Britain ?,HUMAN,HUM,ind
4686,How can you tell when figs are ripe ?,DESCRIPTION,DESC,manner
4687,How do I love thee ?,DESCRIPTION,DESC,manner
4688,Which type of soda has the greatest amount of caffeine ?,ENTITY,ENTY,food
4689,What nationality is a Sicilian ?,LOCATION,LOC,country
4690,What is the most common boy 's or girl 's name ?,HUMAN,HUM,ind
4691,"Who was the accused in The Trial of the Century , which opened Janurary 1 , 1935 ?",HUMAN,HUM,ind
4692,What color was the hundred billionth crayon made by Crayola ?,ENTITY,ENTY,color
4693,What soft drink tells us to `` Go Hawaiian '' ?,ENTITY,ENTY,food
4694,How does a hydroelectric dam work ?,DESCRIPTION,DESC,manner
4695,What is the oldest building in the United States ?,LOCATION,LOC,other
4696,What is the West Virginia state animal ?,ENTITY,ENTY,animal
4697,How many people died on South Carolina highways in 1998 ?,NUMERIC,NUM,count
4698,What are binomial coefficients ?,DESCRIPTION,DESC,def
4699,What was The Living Room War ?,DESCRIPTION,DESC,def
4700,What are some translations of the phrase `` Thank-you '' ?,ENTITY,ENTY,termeq
4701,What is President Nixon 's birthdate ?,NUMERIC,NUM,date
4702,What is `` the great American family cereal '' ?,ENTITY,ENTY,food
4703,"What was Suzy Parker doing to earn $1 , 000 in the early 1950 's ?",DESCRIPTION,DESC,desc
4704,How many people died in the Vietnam war ?,NUMERIC,NUM,count
4705,What year did Montana become a state ?,NUMERIC,NUM,date
4706,When was the USSR dissolved ?,NUMERIC,NUM,date
4707,Why are there letters on the telephone ? Why are there no Q or Z ?,DESCRIPTION,DESC,reason
4708,What Japanese city was once called Edo ?,LOCATION,LOC,city
4709,Who did the Seven Mules block for ?,HUMAN,HUM,ind
4710,What is the world 's largest distilling company ?,HUMAN,HUM,gr
4711,"What 's the name of the actress who starred in the movie , `` Silence of the Lambs '' ?",HUMAN,HUM,ind
4712,Where is one 's corpus callosum found ?,LOCATION,LOC,other
4713,Who did Napolean defeat at Jena and Auerstadt ?,HUMAN,HUM,ind
4714,What household products are there for adult acne ?,ENTITY,ENTY,product
4715,What British prime minister and U.S. president were seventh cousins once-removed ?,HUMAN,HUM,ind
4716,What is the most expensive car in the world ?,ENTITY,ENTY,product
4717,What is an Angelus ?,DESCRIPTION,DESC,def
4718,How many objects orbit the Earth ?,NUMERIC,NUM,count
4719,What was the tragedy that struck the city of Dogtown in 1899 ?,ENTITY,ENTY,event
4720,What 's the oldest capital city in the Americas ?,LOCATION,LOC,city
4721,What Leon Uris novel dealt with the Russian capture of Berlin ?,ENTITY,ENTY,cremat
4722,"What is the location of Edinburgh , Scotland ?",LOCATION,LOC,other
4723,How many muscles does the average adult use when going for a walk ?,NUMERIC,NUM,count
4724,How long do you have to live in a community to vote ?,NUMERIC,NUM,period
4725,What was the name of the Titanic 's captain ?,HUMAN,HUM,ind
4726,Name of heroine in `` Scruples '' ?,HUMAN,HUM,ind
4727,How big is the Chappellet vineyard ?,NUMERIC,NUM,volsize
